idiom,language,frequency,source_idiom,source_language
bli ledd ut,nno,3212.0,bli ledd ut,nob
bli slengt veggimellom,nno,147.0,bli slengt veggimellom,nob
bli slått på målstreken,nno,939.0,bli slått på målstreken,nob
bli snudd på hovudet,nno,214.0,bli snudd på hodet,nob
bli stilt mot veggen,nno,185.0,bli stilt mot veggen,nob
bli til latter,nno,4981.0,bli til latter,nob
bli til støv,nno,2896.0,bli til støv,nob
bli varm i trøya,nno,5998.0,bli varm i trøya,nob
bli vippa av pinnen,nno,107.0,bli vippet av pinnen,nob
blid som ei lerke,nno,1375.0,blid som en lerke,nob
blid som ei sol,nno,4537.0,blid som en sol,nob
blod er tjukkare enn vatn,nno,469.0,blod er tykkere enn vann,nob
blod på tann,nno,70027.0,blod på tann,nob
"blod, sveitte og tårer",nno,930.0,"blod, svette og tårer",nob
blåse seg opp,nno,5467.0,blåse seg opp,nob
bomber og granatar,nno,747.0,bomber og granater,nob
bort i natta,nno,17239.0,bort i natta,nob
bort i veggene,nno,15510.0,bort i veggene,nob
"borte bra, men hjemme best",nob,7898.0,"borte bra, men heime best",nno
"borte bra, men heime best",nno,1295.0,"borte bra, men hjemme best",nob
borte som ei sviske,nno,186.0,borte som en sviske,nob
brenna alle bruer,nno,133.0,brenne alle broer,nob
brent barn skyr ilden,nob,4831.0,brent barn skyr elden,nno
brent barn skyr elden,nno,364.0,brent barn skyr ilden,nob
bretta opp ermane,nno,1086.0,brette opp ermene,nob
brikkene fell på plass,nno,542.0,brikkene faller på plass,nob
bresta eller bera,nno,152.0,briste eller bære,nob
bruka harde ord,nno,308.0,bruke harde ord,nob
bruka sunn fornuft,nno,558.0,bruke sunn fornuft,nob
bryta over tvert,nno,147.0,bryte over tvert,nob
bryta ut i,nno,675.0,bryte ut i,nob
by på seg sjølv,nno,757.0,by på seg selv,nob
by seg fram,nno,3652.0,by seg frem,nob
byggja stein på stein,nno,206.0,bygge sten på sten,nob
både det eine og det andre,nno,13797.0,både det ene og det andre,nob
både her og der,nno,126449.0,både her og der,nob
både i pose og sekk,nno,52880.0,både i pose og sekk,nob
bera fram noko,nno,379.0,bære fram noe,nob
bera preg av,nno,1159.0,bære preg av,nob
børs og katedral,nno,8516.0,børs og katedral,nob
bøta med livet,nno,4150.0,bøte med livet,nob
bøye kne for Baal,nno,133.0,bøye kne for Baal,nob
då skal du ha takk,nno,302.0,da skal du ha takk,nob
dag ut og dag inn,nno,58729.0,dag ut og dag inn,nob
dagens byrde og hete,nno,9272.0,dagens byrde og hete,nob
no og då,nno,21476.0,dann og vann,nob
dansen rundt gullkalven,nno,7354.0,dansen rundt gullkalven,nob
dei er like gode,nno,688.0,de er like gode,nob
dei evige jaktmarkene,nno,140.0,de evige jaktmarker,nob
"dei gode, gamle dagar",nno,3349.0,"de gode, gamle dager",nob
dei skrå bredder,nno,387.0,de skrå bredder,nob
dei store kanonane,nno,365.0,de store kanonene,nob
dei sju hav,nno,3793.0,de syv hav,nob
delta i styre og stell,nno,1108.0,delta i styre og stell,nob
den blå timen,nno,75788.0,den blå time,nob
den ene tjenesten er den andre verd,nob,949.0,den eine tenesta er den andre verd,nno
den eldre garde,nno,41050.0,den eldre garde,nob
den eine etter den andre,nno,16887.0,den ene etter den andre,nob
han er for tjukk,nno,224.0,den er for tjukk,nob
den femte kolonnen,nno,181.0,den femte kolonne,nob
den første den beste,nno,10875.0,den første den beste,nob
den gamle Adam,nno,16159.0,den gamle Adam,nob
den gamle verda,nno,1379.0,den gamle verden,nob
den store hopen,nno,3980.0,den gemene hop,nob
den gode gamle,nno,118557.0,den gode gamle,nob
den gordiske knuten,nno,3084.0,den gordiske knute,nob
den grå kvardagen,nno,1798.0,den grå hverdag,nob
den grå massen,nno,4638.0,den grå masse,nob
den grøne bølgja,nno,655.0,den grønne bølge,nob
den gule rasen,nno,232.0,den gule rase,nob
den gylne middelvegen,nno,385.0,den gylne middelvei,nob
den harde kjernen,nno,12734.0,den harde kjerne,nob
den kvite mannen,nno,1888.0,den hvite mann,nob
den indre stemma,nno,196.0,den indre stemme,nob
den jamne mannen,nno,375.0,den jevne mann,nob
den kulørte pressa,nno,663.0,den kulørte presse,nob
den vesle svarte,nno,3159.0,den lille sorte,nob
den menneskelege faktoren,nno,614.0,den menneskelige faktor,nob
den må du dra lenger ut på landet med,nno,226.0,den må du dra lenger ut på landet med,nob
den nakne sanninga,nno,1316.0,den nakne sannhet,nob
den raude tråden,nno,5589.0,den røde tråd,nob
den siste olja,nno,187.0,den siste olje,nob
den siste reisa,nno,1251.0,den siste reise,nob
den skal tidlig krøkes som god krok skal bli,nob,2797.0,den skal tidleg krøkjast som god krok skal bli,nno
"den skal tidlig krøkes, som god krok skal bli",nob,2797.0,"den skal tidleg krøkjast, som god krok skal bli",nno
"den som kommer først til møllen, får først malt",nob,422.0,"den som kjem først til mølla, får først male",nno
"den som søv, syndar ikkje",nno,232.0,"den som sover, synder ikke",nob
"den som tier, samtykker",nob,5489.0,"den som teier, samtykkjer",nno
den svarte gryta,nno,408.0,den sorte gryte,nob
retten til den sterkaste,nno,152.0,den sterkestes rett,nob
den store bøygen,nno,23219.0,den store bøygen,nob
den store skjelven,nno,12605.0,den store skjelven,nob
den søte kløen,nno,686.0,den søte kløe,nob
den tid - den sorg,nob,13890.0,den tid - den sorg,nno
den tid den sorg,nno,13890.0,"den tid, den sorg",nob
den tredje verda,nno,12493.0,den tredje verden,nob
den usminka sanninga,nno,105.0,den usminkede sannhet,nob
den visse døden,nno,142.0,den visse død,nob
den ytste dagen,nno,660.0,den ytterste dag,nob
det akademiske kvarteret,nno,307.0,det akademiske kvarter,nob
det aller heilagste,nno,564.0,det aller helligste,nob
det beste er det godes fiende,nno,575.0,det beste er det godes fiende,nob
det vart stor ståhei,nno,202.0,det ble stor ståhei,nob
det blide Sørland,nno,6006.0,det blide Sørland,nob
det blir nok ei råd,nno,1176.0,det blir nok en råd,nob
det pøser ned,nno,1335.0,det bøtter ned,nob
det eine dreg det andre med seg,nno,409.0,det ene drar det andre med seg,nob
det eine med det andre,nno,2300.0,det ene med det andre,nob
det einaste saliggjerande,nno,1134.0,det eneste saliggjørende,nob
det er aldri så gale at det ikkje er godt for noko,nno,245.0,det er aldri så galt at det ikke er godt for noe,nob
det er av sine eigne ein skal ha det,nno,871.0,det er av sine egne man skal ha det,nob
det er av sine egne man skal ha det,nob,7959.0,det er av sine eigne ein skal ha det,nno
det er berre blåbær,nno,105.0,det er bare blåbær,nob
det er berre prat,nno,123.0,det er bare prat,nob
det er berre å beklaga,nno,452.0,det er bare å beklage,nob
det er bedre sent enn aldri,nob,1590.0,det er betre seint enn aldri,nno
det er det delte meiningar om,nno,132.0,det er det delte meninger om,nob
det er det frekkaste,nno,143.0,det er det frekkeste,nob
det er det verste eg har høyrt,nno,231.0,det er det verste jeg har hørt,nob
det er dårleg gjort,nno,1320.0,det er dårlig gjort,nob
det er ei sak for seg,nno,968.0,det er en sak for seg,nob
det er ei smal sak,nno,212.0,det er en smal sak,nob
det er ei tid for alt,nno,1881.0,det er en tid for alt,nob
det er eit godt spørsmål,nno,1428.0,det er et godt spørsmål,nob
det er fast takst at . .,nno,320.0,det er fast takst at ...,nob
det er forskjell på folk,nno,6115.0,det er forskjell på folk,nob
det er fort gjort,nno,52110.0,det er fort gjort,nob
det er grei skuring,nno,2484.0,det er grei skuring,nob
det er gresk for meg,nno,576.0,det er gresk for meg,nob
det er gudsens sanning,nno,2041.0,det er gudsens sanning,nob
det er heva over all tvil at . .,nno,152.0,det er hevet over enhver tvil at ...,nob
det er ikkje all verda,nno,424.0,det er ikke all verden,nob
"det er ikkje berre, berre",nno,2821.0,"det er ikke bare, bare",nob
det er ikkje godt å vita,nno,1662.0,det er ikke godt å vite,nob
det er ikkje gull alt som glimrar,nno,204.0,det er ikke gull alt som glimrer,nob
det er ikkje kvar dag,nno,7879.0,det er ikke hver dag,nob
det er ikkje med lett hjarte,nno,475.0,det er ikke med lett hjerte,nob
det er ikkje mitt bord,nno,224.0,det er ikke mitt bord,nob
det er ikkje noko å snakka om,nno,145.0,det er ikke noe å snakke om,nob
det er ikkje så farleg,nno,2696.0,det er ikke så farlig,nob
det er ikkje tvil i mi sjel,nno,155.0,det er ikke tvil i min sjel,nob
det er inga sak,nno,2003.0,det er ingen sak,nob
det er ingen skade skjedd,nno,2052.0,det er ingen skade skjedd,nob
det er ingen veg tilbake,nno,956.0,det er ingen vei tilbake,nob
det er jenta si,nno,2230.0,det er jenta si,nob
det er krig på kniven,nno,442.0,det er krig på kniven,nob
det er langt mellom liv og lære,nno,2447.0,det er langt mellom liv og lære,nob
det er lett å vera etterpåklok,nno,358.0,det er lett å være etterpåklok,nob
det er makta som rår,nno,2368.0,det er makta som rår,nob
det er mange om beinet,nno,14110.0,det er mange om beinet,nob
det er mange skjer i sjøen,nno,422.0,det er mange skjær i sjøen,nob
det er meir mellom himmel og jord,nno,420.0,det er mer mellom himmel og jord,nob
det er mitt siste ord,nno,2553.0,det er mitt siste ord,nob
det er noko i vegen,nno,2873.0,det er noe i veien,nob
det er på høg tid,nno,17663.0,det er på høy tid,nob
det er sikkert og visst,nno,14786.0,det er sikkert og visst,nob
det er synd og skam at . .,nno,3713.0,det er synd og skam at ...,nob
det er så rart med det,nno,25315.0,det er så rart med det,nob
det er så sant som det er sagt,nno,13829.0,det er så sant som det er sagt,nob
det er til pass for henne,nno,224.0,det er til pass for henne,nob
det er ugler i mosen,nno,2933.0,det er ugler i mosen,nob
det er utlagt,nno,9115.0,det er utlagt,nob
det er vegen å gå,nno,1160.0,det er veien å gå,nob
det forstår seg,nno,4298.0,det forstår seg,nob
det får gå som det vil,nno,1793.0,det får gå som det vil,nob
det får tida visa,nno,289.0,det får tiden vise,nob
det får våga seg,nno,692.0,det får våge seg,nob
det første bodet,nno,852.0,det første bud,nob
det første det beste,nno,3894.0,det første det beste,nob
det glade hjørnet,nno,3927.0,det glade hjørnet,nob
det gode selskap,nno,68413.0,det gode selskap,nob
den grå marknaden,nno,110.0,det grå marked,nob
det går fleire tog,nno,490.0,det går flere tog,nob
det går over stokk og stein,nno,2505.0,det går over stokk og stein,nob
det går på helsa laus,nno,948.0,det går på helsa løs,nob
det har du mitt ord på,nno,1734.0,det har du mitt ord på,nob
det har han godt av,nno,1501.0,det har han godt av,nob
det har ikkje noko å seia,nno,437.0,det har ikke noe å si,nob
det har runne mykje vatn i havet sidan,nno,142.0,det har rent mye vann i havet siden,nob
det heng ikkje på greip,nno,802.0,det henger ikke på greip,nob
det humpar og går,nno,129.0,det humper og går,nob
det høljar ned,nno,257.0,det høljer ned,nob
det er sjeldan,nno,33182.0,det hører med til sjeldenhetene,nob
det kan du skriva opp,nno,225.0,det kan du skrive opp,nob
det kan du ta gift på,nno,1832.0,det kan du ta gift på,nob
det kan eg skriva under på,nno,130.0,det kan jeg skrive under på,nob
det kjem ikkje på tale,nno,2058.0,det kommer ikke på tale,nob
det kostar å vera kar,nno,710.0,det koster å være kar,nob
det levande ordet,nno,3880.0,det levende ord,nob
"det seier seg sjølv, at . .",nno,29635.0,"det ligger i sakens natur, at ...",nob
det ein ikkje veit har ein ikkje vondt av,nno,114.0,det man ikke vet har man ikke vondt av,nob
det minste av to vonde,nno,189.0,det minste av to onder,nob
det må eg seia,nno,1382.0,det må jeg si,nob
det mørke fastlandet,nno,650.0,det mørke fastland,nob
det pøser ned,nno,1335.0,det pøser ned,nob
det seier seg sjølv,nno,32355.0,det sier seg selv,nob
det skal halda hardt,nno,282.0,det skal holde hardt,nob
det skal ho ha,nno,592.0,det skal hun ha,nob
det skal ikkje stå på meg,nno,121.0,det skal ikke stå på meg,nob
det skal skarp lut til,nno,592.0,det skal skarp lut til,nob
det skal sterk rygg til å bera gode dagar,nno,219.0,det skal sterk rygg til å bære gode dager,nob
det skrivne ordet,nno,2550.0,det skrevne ord,nob
det skulle ikkje forundra meg om,nno,209.0,det skulle ikke forundre meg om,nob
det slår aldri feil,nno,5778.0,det slår aldri feil,nob
det smaker pyton,nno,263.0,det smaker pyton,nob
det speler inga rolle,nno,576.0,det spiller ingen rolle,nob
det springande punktet,nno,2033.0,det springende punkt,nob
det sterke kjønnet,nno,256.0,det sterke kjønn,nob
det store utlandet,nno,2960.0,det store utland,nob
det strir mot all fornuft,nno,156.0,det strider mot all fornuft,nob
det står ikkje i menneskeleg makt,nno,113.0,det står ikke i menneskelig makt,nob
det står til liv,nno,3022.0,det står til liv,nob
det svake kjønnet,nno,342.0,det svake kjønn,nob
det søte livet,nno,1245.0,det søte liv,nob
det tapte paradis,nno,11632.0,det tapte paradis,nob
det tek seg dårleg ut,nno,155.0,det tar seg dårlig ut,nob
det var andre bollar,nno,121.0,det var andre boller,nob
det var både synd og skam,nno,931.0,det var både synd og skam,nob
det var dine ord,nno,2018.0,det var dine ord,nob
det var før mi tid,nno,361.0,det var før min tid,nob
det var guds lykke at . .,nno,144.0,det var guds lykke at ...,nob
det var på vippen,nno,131.0,det var på vippen,nob
det var reine ord for pengane,nno,109.0,det var rene ord for pengene,nob
det var saker det,nno,530.0,det var saker det,nob
det var som faen,nno,5260.0,det var som faen,nob
det vil helst gå bra,nno,5938.0,det vil helst gå bra,nob
det vil seg ikkje,nno,225.0,det vil seg ikke,nob
det auser ned,nno,112.0,det øser ned,nob
dett var dett,nno,5739.0,dett var dett,nob
dette av lasset,nno,1121.0,dette av lasset,nob
dette er ikkje mine ord,nno,148.0,dette er ikke mine ord,nob
dette er livet,nno,11777.0,dette er livet,nob
dette er no historie,nno,141.0,dette er nå historie,nob
dette er toppen,nno,6410.0,dette er toppen,nob
dette og hint,nno,55251.0,dette og hint,nob
dikt og forbanna løgn !,nno,233.0,dikt og forbannet løgn !,nob
dra av garde,nno,7370.0,dra av gårde,nob
dra dit peparen gror,nno,137.0,dra dit pepperen gror,nob
dra i felten,nno,2393.0,dra i felten,nob
dra i gang noko,nno,202.0,dra i gang noe,nob
dra sigeren i land,nno,465.0,dra seieren i land,nob
dra til Blokksberg !,nno,526.0,dra til Blokksberg !,nob
dra til Bloksberg,nno,2717.0,dra til Bloksberg,nob
dra ut tida,nno,683.0,dra ut tiden,nob
drikk og svir,nno,2532.0,drikk og svir,nob
drita seg ut,nno,180.0,drite seg ut,nob
drive det langt,nno,11825.0,drive det langt,nob
du er kniven,nno,214.0,du er kniven,nob
du er meg ein fin ein,nno,114.0,du er meg en fin en,nob
du er toppen,nno,3758.0,du er toppen,nob
du gode min,nno,904.0,du gode min,nob
du kan så seia,nno,492.0,du kan så si,nob
du skal fa,nno,10382.0,du skal fa,nob
du skal få svi,nno,848.0,du skal få svi,nob
du slette tid,nno,50424.0,du slette tid,nob
du store kinesar !,nno,145.0,du store kineser !,nob
du store min,nno,35057.0,du store min,nob
du store verda,nno,1343.0,du store verden,nob
dumme seg loddrett ut,nno,312.0,dumme seg loddrett ut,nob
dyret i openberringa,nno,242.0,dyret i åpenbaringen,nob
døy i synda,nno,650.0,dø i synden,nob
døy på sotteseng,nno,153.0,dø på sotteseng,nob
død og pine,nno,14308.0,død og pine,nob
død og plage,nno,2909.0,død og plage,nob
døden i gryta,nno,356.0,døden i gryten,nob
en svale gjør ingen sommer,nob,6186.0,ei svale gjer ingen sommar,nno
en ulykke kommer sjelden alene,nob,7459.0,ei ulukke kjem sjeldan åleine,nno
"en mann er en mann, og et ord er et ord",nob,1100.0,"ein mann er ein mann, og eit ord er eit ord",nno
"man vet hva man har, men ikke hva man får",nob,2104.0,"ein veit kva ein har, men ikkje kva ein får",nno
elefanten i rommet,nno,5949.0,elefanten i rommet,nob
"elementært, min kjære Watson",nno,664.0,"elementært, min kjære Watson",nob
ein angrande syndar,nno,649.0,en angrende synder,nob
ein annan dans,nno,2737.0,en annen dans,nob
ein av gutane,nno,10040.0,en av gutta,nob
ein betre middag,nno,2570.0,en bedre middag,nob
ei bitter pille,nno,214.0,en bitter pille,nob
ein dags tid,nno,1515.0,en dags tid,nob
ein dans på roser,nno,1645.0,en dans på roser,nob
ein del av kaka,nno,247.0,en del av kaken,nob
ei drivande kraft,nno,4980.0,en drivende kraft,nob
ein dundrande suksess,nno,712.0,en dundrende suksess,nob
ei dyster framtid,nno,575.0,en dyster fremtid,nob
ei enkel sjel,nno,439.0,en enkel sjel,nob
ei estetisk nyting,nno,233.0,en estetisk nytelse,nob
ein fallen engel,nno,117.0,en fallen engel,nob
ei fallen kvinne,nno,130.0,en fallen kvinne,nob
ein falsk alarm,nno,162.0,en falsk alarm,nob
ein falsk profet,nno,351.0,en falsk profet,nob
ein fiks idé,nno,524.0,en fiks idé,nob
ein finger med i spelet,nno,4035.0,en finger med i spillet,nob
ein flittig gjest,nno,1435.0,en flittig gjest,nob
ei fluge på veggen,nno,143.0,en flue på veggen,nob
ein flygande tallerken,nno,241.0,en flyvende tallerken,nob
"ein for alle, alle for ein",nno,456.0,"en for alle, alle for en",nob
ein fransk visitt,nno,173.0,en fransk visitt,nob
ein framand fugl,nno,815.0,en fremmed fugl,nob
ein fugl i handa er betre enn ti på taket,nno,153.0,en fugl i hånden er bedre enn ti på taket,nob
ein gammal flamme,nno,113.0,en gammel flamme,nob
ein gammal ungkar,nno,270.0,en gammel ungkar,nob
ei gåve frå himmelen,nno,274.0,en gave fra himmelen,nob
ein glad laks,nno,595.0,en glad laks,nob
ein god latter forlengjer livet,nno,208.0,en god latter forlenger livet,nob
ei grå mus,nno,412.0,en grå mus,nob
ei grøn lunge,nno,806.0,en grønn lunge,nob
ein hard nagl,nno,121.0,en hard negl,nob
ein heidundrande fest,nno,278.0,en heidundrende fest,nob
ei heldig stjerne,nno,121.0,en heldig stjerne,nob
ei heilag ku,nno,855.0,en hellig ku,nob
ein heilstøypt personlegdom,nno,121.0,en helstøpt personlighet,nob
ei varm potet,nno,1204.0,en het potet,nob
ei hjelpande hand,nno,18821.0,en hjelpende hånd,nob
ein kvit flekk på kartet,nno,319.0,en hvit flekk på kartet,nob
ei kvit løgn,nno,321.0,en hvit løgn,nob
ei indre stemme,nno,201.0,en indre stemme,nob
ei kald skulder,nno,1732.0,en kald skulder,nob
ein kamp mot klokka,nno,392.0,en kamp mot klokka,nob
ein kamp mot vindmøller,nno,152.0,en kamp mot vindmøller,nob
ein kamp på liv og død,nno,1844.0,en kamp på liv og død,nob
ein klapp på skuldra,nno,775.0,en klapp på skulderen,nob
ein knakande kjekk kar,nno,182.0,en knakende kjekk kar,nob
ein knute på tråden,nno,473.0,en knute på tråden,nob
ein koloss på leirføter,nno,174.0,en koloss på leirføtter,nob
ein liten tass,nno,659.0,en liten tass,nob
ein lys idé,nno,449.0,en lys idé,nob
ein lystig fyr,nno,213.0,en lystig fyr,nob
ei magisk grense,nno,275.0,en magisk grense,nob
ein mann av folket,nno,816.0,en mann av folket,nob
ein mann i sine beste år,nno,655.0,en mann i sine beste år,nob
ein mjuk mann,nno,233.0,en myk mann,nob
ein ny verdsborgar,nno,538.0,en ny verdensborger,nob
ein nyttig idiot,nno,175.0,en nyttig idiot,nob
ein vond sirkel,nno,5970.0,en ond sirkel,nob
ein plass i sola,nno,1124.0,en plass i solen,nob
ein polsk riksdag,nno,225.0,en polsk riksdag,nob
ein pust i bakken,nno,6918.0,en pust i bakken,nob
ein på trynet,nno,864.0,en på trynet,nob
ei pølse i slaktetida,nno,1456.0,en pølse i slaktetiden,nob
ein rik onkel i Amerika,nno,120.0,en rik onkel i Amerika,nob
ein raud tråd,nno,11535.0,en rød tråd,nob
ei salig blanding,nno,1611.0,en salig blanding,nob
ein salomonisk dom,nno,154.0,en salomonisk dom,nob
ein sann fryd,nno,341.0,en sann fryd,nob
ei siste helsing,nno,4029.0,en siste hilsen,nob
ein sjeldan gong,nno,10511.0,en sjelden gang,nob
ein sjeldan gjest,nno,749.0,en sjelden gjest,nob
ei smal sak,nno,2148.0,en smal sak,nob
ein smittande latter,nno,310.0,en smittende latter,nob
ein spikar i kista,nno,138.0,en spiker i kista,nob
ein stri tørn,nno,3276.0,en stri tørn,nob
ei svale gjer ingen sommar,nno,319.0,en svale gjør ingen sommer,nob
ei takksam oppgåve,nno,369.0,en takknemlig oppgave,nob
ein trong fødsel,nno,1129.0,en trang fødsel,nob
ein tru tenar,nno,849.0,en tro tjener,nob
ein trojansk hest,nno,216.0,en trojansk hest,nob
ei ulykke kjem sjeldan åleine,nno,118.0,en ulykke kommer sjelden alene,nob
ein underleg fisk,nno,113.0,en underlig fisk,nob
ein underleg skrue,nno,325.0,en underlig skrue,nob
ein uslipt diamant,nno,106.0,en uslepen diamant,nob
ein utru tenar,nno,235.0,en utro tjener,nob
ei varm mottaking,nno,437.0,en varm mottagelse,nob
ei varm potet,nno,1204.0,en varm potet,nob
ei verpesjuk høne,nno,265.0,en verpesjuk høne,nob
ein viss mann,nno,2693.0,en viss mann,nob
ein våt draum,nno,220.0,en våt drøm,nob
ende i tragedie,nno,1294.0,ende med forferdelse,nob
ende med knall og fall,nno,1490.0,ende med knall og fall,nob
ende sine dagar,nno,655.0,ende sine dager,nob
enkjer og farlause,nno,470.0,enker og farløse,nob
eplet fell ikkje langt frå stammen,nno,191.0,eplet faller ikke langt fra stammen,nob
er det fest så er det fest,nno,481.0,er det fest så er det fest,nob
er det ikkje det eine så er det det andre,nno,180.0,er det ikke det ene så er det det andre,nob
er du frå vitet,nno,198.0,er du fra vettet,nob
er du galen,nno,4644.0,er du gal,nob
er du vill,nno,1044.0,er du vill,nob
eit Columbi egg,nno,458.0,et Columbi egg,nob
eit avslutta kapittel,nno,775.0,et avsluttet kapittel,nob
eit bilete seier meir enn tusen ord,nno,128.0,et bilde sier mer enn tusen ord,nob
eit brennande spørsmål,nno,464.0,et brennende spørsmål,nob
eit columbi egg,nno,458.0,et columbi egg,nob
eit drygt stykke,nno,805.0,et drøyt stykke,nob
eit dødfødd barn,nno,151.0,et dødfødt barn,nob
eit ekte mannfolk,nno,228.0,et ekte mannfolk,nob
eit fast uttrykk,nno,649.0,et fast uttrykk,nob
eit fromt ønske,nno,214.0,et fromt ønske,nob
eit første steg,nno,3740.0,et første skritt,nob
eit grepa kvinnfolk,nno,278.0,et grepa kvinnfolk,nob
eit gudsord frå landet,nno,163.0,et gudsord fra landet,nob
eit gullkanta papir,nno,201.0,et gullkantet papir,nob
eit helvete på jord,nno,227.0,et helvete på jord,nob
eit hår i suppa,nno,301.0,et hår i suppa,nob
eit kappløp med tida,nno,413.0,et kappløp med tiden,nob
eit klokt hovud,nno,256.0,et klokt hode,nob
eit langt lerret å bleikja,nno,257.0,et langt lerret å bleke,nob
eit leiande spørsmål,nno,100.0,et ledende spørsmål,nob
eit levande lik,nno,145.0,et levende lik,nob
eit levande lys,nno,237.0,et levende lys,nob
eit lystig lag,nno,660.0,et lystig lag,nob
eit ord er eit ord,nno,1325.0,et ord er et ord,nob
eit pust frå den store verda,nno,104.0,et pust fra den store verden,nob
eit pust i sivet,nno,203.0,et pust i sivet,nob
eit raudt kort,nno,845.0,et rødt kort,nob
eit sikkert kort,nno,290.0,et sikkert kort,nob
eit skeivt ord,nno,475.0,et skjevt ord,nob
eit skeivt smil,nno,776.0,et skjevt smil,nob
eit steg i rett retning,nno,2406.0,et skritt i riktig retning,nob
eit skot for baugen,nno,1845.0,et skudd for baugen,nob
eit skot i blinde,nno,211.0,et skudd i blinde,nob
eit skar i gleda,nno,167.0,et skår i gleden,nob
eit slag i lufta,nno,1454.0,et slag i lufta,nob
eit slag under beltestaden,nno,507.0,et slag under beltestedet,nob
eit steg i rett retning,nno,2406.0,et steg i riktig retning,nob
eit steinkast unna,nno,2528.0,et steinkast unna,nob
eit strå kvassare,nno,406.0,et strå hvassere,nob
eit ståande uttrykk,nno,212.0,et stående uttrykk,nob
eit svakt punkt,nno,1288.0,et svakt punkt,nob
eit tveegga sverd,nno,895.0,et tveegget sverd,nob
eit uekte barn,nno,556.0,et uekte barn,nob
eit viktig steg på vegen,nno,977.0,et viktig skritt på vegen,nob
eta om seg,nno,124.0,ete om seg,nob
etter alt å dømma,nno,1952.0,etter alt å dømme,nob
etter beste evne,nno,186804.0,etter beste evne,nob
