idiom,language,frequency
bli stemoderlig behandlet,nob,470
bli stemplet som noe,nob,144
bli stilt mot veggen,nob,185
bli svarteper,nob,345
bli tatt av dage,nob,2873
bli tatt av dragsuget,nob,534
bli tatt av plakaten,nob,831
bli tatt inn i varmen,nob,1317
bli tatt med buksene nede,nob,1008
bli tatt på fersk gjerning,nob,2807
bli tatt på fersken,nob,2551
bli tatt under ild,nob,106
bli til latter,nob,4981
bli til støv,nob,2896
bli varm i trøya,nob,5998
bli varmt mottatt,nob,222
bli vippet av pinnen,nob,1248
blid som en lerke,nob,2116
blid som en sol,nob,3144
blind alarm,nob,10334
blind høne finner også korn,nob,215
blind vold,nob,15670
"blod, svette og tårer",nob,16099
blod er tykkere enn vann,nob,3921
blomsten og biene,nob,172
blomstre av,nob,2299
blotte seg,nob,6162
blunke til noen,nob,115
blåse seg opp,nob,5467
blått blod,nob,16917
blære seg,nob,2118
bomber og granater,nob,15627
bordet fanger,nob,14132
bort i hør og heim,nob,129
bort i natta,nob,17238
bort i veggene,nob,15510
"borte bra, men hjemme best",nob,7898
borte som en sviske,nob,507
bortenfor alle blåner,nob,629
bortforklare noe,nob,1388
braute seg fram,nob,182
breie seg,nob,16672
brenne et straffespark,nob,1037
brenne for noe,nob,1109
brenne hjemme,nob,2246
brenne inne med noe,nob,379
brenne sine skip,nob,320
brenne sitt lys i begge ender,nob,625
brent barn skyr ilden,nob,4831
brette opp ermene,nob,31112
brikkene faller på plass,nob,6780
bringe til verden,nob,1206
brodne kar,nob,6860
bruke albuene,nob,1670
bruke apostlenes hester,nob,4088
bruke grovt skyts,nob,385
bruke harde ord,nob,955
bruke kjeft,nob,6571
bruke klubba,nob,2265
bruke penger som en full sjømann,nob,171
bruke sparekniven,nob,8646
bruke sundt bondevett,nob,123
bruke sunn fornuft,nob,16103
bruke vettet,nob,9056
bruke øynene,nob,11117
bruse med fjærene,nob,1584
brygge opp til noe,nob,162
brygge på noe,nob,206
brystet snører seg sammen,nob,315
bryte alle skranker,nob,119
bryte isen,nob,7734
bryte lydmuren,nob,3828
bryte løs,nob,24538
bryte med noen,nob,603
bryte ned,nob,165619
bryte ny mark,nob,685
bryte opp,nob,186868
bryte over tvert,nob,6856
bryte tausheten,nob,8053
bryte ut i,nob,31499
bryte ut i lys lue,nob,686
brøle som en løve,nob,478
bukke og skrape,nob,2972
buse ut med noe,nob,452
by på seg selv,nob,3648
by seg frem,nob,1705
bygge sten på sten,nob,769
både det ene og det andre,nob,74017
både her og der,nob,126449
både i pose og sekk,nob,52880
bånn i bøtta,nob,3872
bære byrdene,nob,23645
bære fram noe,nob,268
bære horn,nob,110
bære preg av,nob,42142
bære seg,nob,54699
bære sitt kors,nob,1768
bære ut jula,nob,111
bære ved til bålet,nob,899
bølge frem og tilbake,nob,651
børs og katedral,nob,8516
bøte med livet,nob,83850
bøtte ned,nob,2447
bøye av,nob,33859
bøye hodet,nob,16063
bøye nakken,nob,8326
bøye seg for noen,nob,691
da er dagen reddet,nob,161
da er vi to,nob,2622
da skal du ha takk,nob,1005
dag ut og dag inn,nob,58728
dagen derpå,nob,140776
dagen er ennå ung,nob,385
dagens mann,nob,66176
dann og vann,nob,10610
danne skole,nob,6777
dansen rundt gullkalven,nob,7354
de edlere deler,nob,1872
de er like gode,nob,6620
"de gode, gamle dager",nob,55448
de har funnet hverandre,nob,1372
de hvite kull,nob,3247
de jordiske gleder,nob,454
de skrå bredder,nob,32817
de store kanonene,nob,10159
de vises stein,nob,19742
dele bord og seng,nob,1032
delta i styre og stell,nob,1108
demre for noen,nob,703
den bevingede hest,nob,181
den blå time,nob,1958
den daglige tredemølle,nob,914
den eldre garde,nob,41050
den ene etter den andre,nob,78256
"den enes brød, den andres død",nob,829
den er for tjukk,nob,857
den evige toer,nob,6543
den første den beste,nob,10875
den gamle Adam,nob,16159
den gamle verden,nob,38724
den gemene hop,nob,11716
den gode gamle,nob,118556
den gordiske knute,nob,4993
den grå hverdag,nob,11975
den grå masse,nob,4065
den grønne bølge,nob,3294
"den gud gir et embete, gir han også forstand",nob,800
den gule rase,nob,1503
den harde kjerne,nob,17029
den hjemlige andedam,nob,358
den hvite mann,nob,33904
den indre stemme,nob,2195
den jevne mann,nob,27931
den kulørte presse,nob,3836
den lille sorte,nob,10358
den menneskelige faktor,nob,20193
den må du dra lenger ut på landet med,nob,226
den nakne sannhet,nob,22126
den offentlige scene,nob,528
den omvendte verden,nob,3502
den onde,nob,249259
den røde tråd,nob,18887
den satt,nob,122441
den siste olje,nob,11581
den siste reise,nob,3305
den skal tidlig krøkes som god krok skal bli,nob,2797
"den som intet våger, intet vinner",nob,8405
"den som kommer først til mølla, får først male",nob,624
"den som ler sist, ler best",nob,7528
"den som lever, far se",nob,515
"den som sår vind, høster storm",nob,370
den sorte gryte,nob,12168
den sterkestes rett,nob,28449
den store bøygen,nob,23219
den store skjelven,nob,12605
den søte kløe,nob,12010
"den tid, den sorg",nob,13890
den tredje verden,nob,159324
den usminkede sannhet,nob,2926
"den vet best hvor skoen trykker, som har den på",nob,1783
den visse død,nob,46274
den ytterste dag,nob,15730
der ligger hunden begravet,nob,1046
derom strides de lærde,nob,1916
derom tier historien,nob,3323
det akademiske kvarter,nob,7883
det aller helligste,nob,26068
det beste er det godes fiende,nob,575
det beste er godt nok,nob,50852
det ble liv i leiren,nob,309
det ble stor ståhei,nob,1924
det blide Sørland,nob,6006
det blir nok en råd,nob,1540
det blir over mitt lik,nob,427
det blåser nye vinder,nob,220
det blåser på toppene,nob,3789
det bøtter ned,nob,755
det ene drar det andre med seg,nob,1396
det ene med det andre,nob,18422
det eneste saliggjørende,nob,20117
det er aldri så galt at det ikke er godt for noe,nob,1446
det er av sine egne man skal ha det,nob,7959
det er bare prat,nob,1122
det er bare sorgen,nob,401
det er bare å beklage,nob,21995
det er bedre å hoppe i det enn å krype i det,nob,341
det er brann i rosenes leir,nob,348
det er den omvendte verden,nob,147
det er der hunden ligger begravet,nob,616
det er der skoen trykker,nob,1273
det er det delte meninger om,nob,1086
det er det frekkeste,nob,2699
det er det stiveste,nob,225
det er det verste jeg har hørt,nob,4756
det er dårlig gjort,nob,13853
det er en annen skål,nob,2255
det er en sak for seg,nob,3890
det er en smal sak,nob,3391
det er en tid for alt,nob,7698
det er et godt spørsmål,nob,13277
det er fast takst at ...,nob,320
det er forskjell på folk,nob,6115
det er forskjell på kong Salomon og Jørgen hattemaker,nob,200
det er fort gjort,nob,52109
det er gjort på et blunk,nob,571
det er grei skuring,nob,2484
det er gresk for meg,nob,576
det er gudsens sanning,nob,2041
det er helt gresk for meg,nob,105
det er hevet over enhver tvil at ...,nob,14486
det er ikke all verden,nob,3107
"det er ikke bare, bare",nob,21165
det er ikke en sky på himmelen,nob,372
det er ikke godt å vite,nob,25843
det er ikke hver dag,nob,64983
det er ikke med lett hjerte,nob,5275
det er ikke mye om å gjøre,nob,1067
det er ikke noe å rope hurra for,nob,374
det er ikke noe å snakke om,nob,7345
det er ikke så farlig,nob,38030
det er ikke tvil i min sjel,nob,2979
det er ikke verdens undergang,nob,1979
det er ingen bombe,nob,1509
det er ingen bønn,nob,1500
det er ingen røk uten ild,nob,238
det er ingen sak,nob,32509
det er ingen skade skjedd,nob,2052
det er ingen tid å miste,nob,3847
det er ingen tvil i min sjel,nob,517
det er ingen vei tilbake,nob,7191
det er jenta si,nob,2230
det er krig på kniven,nob,442
det er langt mellom liv og lære,nob,2447
det er lett å være etterpåklok,nob,7647
det er like godt å hoppe i det som å krype i det,nob,404
det er makta som rår,nob,2368
det er mange om beinet,nob,14110
det er mange skjær i sjøen,nob,5722
det er meg revnende likegyldig,nob,1102
det er mer mellom himmel og jord,nob,5383
det er mitt siste ord,nob,2553
det er møyen verdt,nob,120
det er noe galt fatt,nob,4156
det er noe i gjære,nob,1849
det er noe i veien,nob,36199
det er noen som har det,nob,2068
det er rent mye vann i havet siden ...,nob,227
det er sikkert og visst,nob,14786
det er som å snakke til veggen,nob,504
det er spilt møye,nob,832
det er synd og skam at ...,nob,3713
det er så rart med det,nob,25315
det er så sant som det er sagt,nob,13829
det er tegn i sol og måne,nob,466
det er til pass for henne,nob,224
det er torden i luften,nob,189
det er veien å gå,nob,5136
det forjettede land,nob,24250
det forstår seg,nob,4298
det får bære eller briste,nob,2379
det får skure,nob,214
det får stå sin prøve,nob,6135
det får tiden vise,nob,11002
det får våge seg,nob,4070
det første bud,nob,18452
det første det beste,nob,3894
det gikk en kule varmt,nob,602
det gikk hull på byllen,nob,835
det gikk meg hus forbi,nob,228
det gjør hverken fra eller til,nob,668
det gjør meg gal,nob,559
det glade hjørnet,nob,3927
det gode selskap,nob,68413
det grå marked,nob,2188
det går en nemesis gjennom livet,nob,1404
det går flere tog,nob,8422
det går hett for seg,nob,1800
det går over stokk og stein,nob,2505
det går på helsa løs,nob,5113
det går tilbake med de gamle guder,nob,839
det har du mitt ord på,nob,1734
det har han godt av,nob,1501
det har ikke noe å si,nob,6586
det har rent mye vann i havet siden,nob,1122
det hinsidige,nob,41925
"det hjertet er fullt av, renner munnen over med",nob,436
det humper og går,nob,1925
det høljer ned,nob,2073
det hører med til sjeldenhetene,nob,10735
det kan det ikke være tale om,nob,627
det kan du banne på,nob,10239
det kan du skrive opp,nob,6921
det kan du ta gift på,nob,1832
det kan jeg skrive under på,nob,3130
det kan skje i de beste familier,nob,100
det kom en kjelke i veien,nob,138
det kommer an på øyet som ser,nob,970
det kommer ikke på tale,nob,22375
det koster å være kar,nob,4447
det krever sin mann,nob,3632
det levende ord,nob,9831
"det ligger i sakens natur, at ...",nob,35519
det ligger tykt utenpå deg,nob,135
det ligner ikke grisen,nob,531
det løpet er kjørt,nob,819
det man ikke vet har man ikke vondt av,nob,1115
det minste av to onder,nob,6952
det må gudene vite,nob,1389
det må jeg si,nob,47576
det mørke fastland,nob,17021
det psykologiske øyeblikk,nob,3805
det pøser ned,nob,1335
det raker deg ikke,nob,2122
det raker meg ikke,nob,632
det rene vanvidd,nob,7292
det ringer en bjelle,nob,566
det sier seg selv,nob,174374
det skal du bare drite i,nob,327
det skal gudene vite,nob,4248
det skal holde hardt,nob,7835
det skal hun ha,nob,3844
det skal ikke stå på meg,nob,970
det skal jeg ha meg frabedt,nob,187
det skal kule til en trønder,nob,674
det skal skarp lut til,nob,592
det skal sterk rygg til å bære gode dager,nob,810
det skal være meg en sann fornøyelse,nob,441
det skal være meg en sann fryd,nob,116
det skal være usagt,nob,7540
det skrevne ord,nob,35654
det skulle ikke forundre meg om,nob,17449
det slår aldri feil,nob,5778
"det som kommer lett, går lett",nob,550
det sorte får,nob,3072
det spiller ingen rolle,nob,126781
det springende punkt,nob,36687
det sterke kjønn,nob,18577
det stikker noe under,nob,906
det store utland,nob,52185
det strider mot all fornuft,nob,721
det står ikke i menneskelig makt,nob,1283
det står skrevet i stjernene,nob,918
det står til liv,nob,3022
det svake kjønn,nob,39897
det svakeste ledd i kjeden,nob,727
det søte liv,nob,141554
det taler sitt tydelige språk,nob,1005
det tapte paradis,nob,11632
det tar seg dårlig ut,nob,2169
det tynnes ut i rekkene,nob,1146
det var andre boller,nob,1551
det var både synd og skam,nob,931
det var dine ord,nob,2017
det var før min tid,nob,2221
det var guds lykke at ...,nob,144
det var ikke et sekund for tidlig,nob,760
det var på vippen,nob,131
det var rene ord for pengene,nob,1545
det var saker det,nob,530
det var skitt,nob,1140
det var som faen,nob,5260
det vil helst gå bra,nob,5938
det vil jeg ikke ha på meg,nob,246
det vil jeg se før jeg tror det,nob,224
det vil seg ikke,nob,2368
det øser ned,nob,1160
dette av lasset,nob,1121
dette er bare blåbær,nob,483
dette er det verste jeg har hørt,nob,605
dette er ikke mine ord,nob,852
dette er livet,nob,11776
dette er nå historie,nob,911
dette er toppen,nob,6410
dette lukter det av,nob,121
dette og hint,nob,55251
dette tar kaka,nob,1159
din banditt,nob,960
din feige hund,nob,289
din vilje er min lov,nob,152
direkte tale,nob,17675
diskutere pavens skjegg,nob,880
djevelens advokat,nob,23252
dolke noen i ryggen,nob,188
dolle seg opp,nob,428
dommens dag,nob,53219
dovne seg,nob,5020
dra av gårde,nob,13028
dra damer,nob,695
dra fanden i vold,nob,292
dra i felten,nob,2393
dra i gang noe,nob,1744
dra seieren i land,nob,3246
dra til Bloksberg,nob,2717
dra tømmerstokker,nob,263
dra ut tiden,nob,1440
drikk og svir,nob,2532
drikke den bitre kalk,nob,147
drikke seg fra sans og samling,nob,1639
drite på draget,nob,892
drite seg ut,nob,7714
drive dank,nob,13549
drive det langt,nob,11825
drive flisespikkeri,nob,293
drive for vær og vind,nob,834
drive gjøn med noen,nob,137
drive rovdrift på seg selv,nob,137
drive tuskhandel,nob,1087
drive vranglære,nob,166
drukne sine sorger,nob,1728
dråpen som får begeret til å flyte over,nob,3399
du er en knupp,nob,3301
du er ikke riktig klok,nob,2307
du er ikke sann,nob,2189
du er ikke snau,nob,394
du er kniven,nob,214
du er meg en fin en,nob,1205
du er og blir den samme,nob,194
du er toppen,nob,3758
du gode min,nob,904
du høster som du sår,nob,303
du kan bare vente deg,nob,149
du kan saktens snakke,nob,120
du kan så si,nob,7612
du skal fa,nob,10382
du skal få svi,nob,848
du slette tid,nob,50424
du store min,nob,35057
du store verden,nob,77746
du tar prisen,nob,101
dukke frem,nob,14564
dumme seg loddrett ut,nob,312
dyrenes konge,nob,9717
dyrke mammon,nob,362
dyrke noen,nob,2753
dysse ned noe,nob,121
dø mett av dage,nob,134
dø på sotteseng,nob,617
død og pine,nob,14308
død og plage,nob,2909
dødens forgård,nob,2027
ebbe i kassen,nob,1206
edder og galle,nob,6516
eget kjøtt og blod,nob,10038
egget vil lære høna å verpe,nob,134
ei berte,nob,816
ei megge,nob,420
ei skrulle,nob,570
ei tuppe,nob,178
eksemplets makt,nob,21580
en adonis,nob,1454
en advokat,nob,144595
en agurktid,nob,803
en akilleshæl,nob,2577
en allviter,nob,650
en analfabet,nob,3750
en andedam,nob,3643
en anekdote,nob,15771
en angrende synder,nob,8799
en angstbiter,nob,232
en angstfordriver,nob,658
en annen dans,nob,17239
en anstand,nob,1376
en anstøtsstein,nob,877
en arbeidshest,nob,8709
en arbeidsmaur,nob,2786
en arg konkurrent,nob,626
en aspirasjon,nob,202
en attpåklatt,nob,2725
en attpåsleng,nob,570
en attåtnæring,nob,4709
en av gutta,nob,41755
en avgrunn,nob,37601
en avledningsmanøver,nob,10709
en avlegger,nob,17059
en bagasje,nob,2609
en bakevje,nob,23236
en bakstrever,nob,723
en baktanke,nob,11896
en bakvaskelse,nob,1288
en balansegang,nob,31219
en balansekunst,nob,2746
en barnestjerne,nob,1161
en banemann,nob,493
en barnesykdom,nob,3533
en basse,nob,737
en bastion,nob,8000
en bedre middag,nob,45380
en bedreviter,nob,1147
en bedrift,nob,523440
en bengel,nob,399
en besettelse,nob,34065
en besk medisin,nob,567
en bestefarsklokke,nob,779
en bibel,nob,64737
en billedlig framstilling,nob,500
en bitter pille,nob,11857
en bjelle ringer,nob,153
en bjellesau,nob,946
en bjørnetjeneste,nob,52264
en blackout,nob,1361
en blandet fornøyelse,nob,6013
en blanding av børs og katedral,nob,216
en blei,nob,3736
en blekke,nob,351
en bloddryppende historie,nob,280
en blodhevn,nob,565
en blodpris,nob,737
en blodsuger,nob,1685
en blomstringstid,nob,11189
en blunder,nob,5744
en blåkopi,nob,13606
en blåstrømpe,nob,534
en blære,nob,5203
en blødme,nob,655
en boble,nob,24059
en boikott,nob,27661
en bombe,nob,266131
en bondefanger,nob,855
en bondeknøl,nob,1552
en bondetamp,nob,1679
en borgfred,nob,967
en brannfakkel,nob,18536
en bredside,nob,13224
en brems,nob,7786
en bremsekloss,nob,15697
en brilleslange,nob,1416
en broder i ånden,nob,127
en broiler,nob,1771
en broket forsamling,nob,6449
en bråkebøtte,nob,592
en brøde,nob,3744
en brølape,nob,291
en busemann,nob,2228
en byggekloss,nob,1212
en bølgedal,nob,41896
en bølle,nob,13094
en bøyg,nob,6925
en casanova,nob,1383
en dagdrøm,nob,4744
en dagligtale,nob,135
en dags tid,nob,19526
en dans på roser,nob,26445
en danseløve,nob,1000
en del av kaken,nob,816
en demon,nob,23204
en devise,nob,1742
en dilettant,nob,3065
en djevelens advokat,nob,521
en dobbeltgjenger,nob,8888
en dominoeffekt,nob,5278
en dommedagsprofet,nob,945
en drage,nob,29318
en drivende kraft,nob,29082
en drivkraft,nob,50763
en dronning,nob,66872
en drukkenbolt,nob,10859
en drømmer,nob,23723
en drøy historie,nob,201
en due,nob,46148
en dumming,nob,930
en dundrende suksess,nob,11681
en dusinvare,nob,330
en dyd av nødvendighet,nob,34441
en dyr spøk,nob,589
en dyrekjøpt seier,nob,668
en dyster fremtid,nob,2795
en dåd,nob,6278
en dåre,nob,19628
en dårelokk,nob,148
en dåsemikkel,nob,727
en døgenikt,nob,4897
en einstøing,nob,11445
en eksosrype,nob,213
en elefant i rommet,nob,579
en elegantier,nob,230
en elektrisk stemning,nob,649
en enkel sjel,nob,4258
en epistel,nob,10316
en eremitt,nob,6172
en estetisk nytelse,nob,4837
en eufemisme,nob,2422
en fabel,nob,30329
en fadese,nob,6959
en fallen engel,nob,1880
en fallen kvinne,nob,3425
en fallhøyde,nob,8258
en fallitterklæring,nob,22486
en falmet skjønnhet,nob,311
en falsk alarm,nob,3883
en falsk profet,nob,3541
en faneflukt,nob,846
en fargeklatt,nob,8576
en feberredning,nob,2327
en feig hund,nob,737
en femtekolonne,nob,2385
en femtekolonnist,nob,167
en fengselsfugl,nob,2886
en festbrems,nob,1489
en fiasko,nob,100201
en fiffig løsning,nob,292
en fiks idé,nob,13105
en filister,nob,1250
en fillefant,nob,346
en fillefrans,nob,796
en finansakrobat,nob,136
en fingerspissfølelse,nob,239
en firkløver,nob,4845
en fisk,nob,185908
en fjolle,nob,291
en fjott,nob,1597
en flanør,nob,530
en flaskehals,nob,38330
en flittig gjest,nob,11766
en flokse,nob,695
en flopp,nob,9316
en flottenheimer,nob,235
en flue på veggen,nob,2291
en flyfille,nob,871
en flyveidé,nob,1361
en flyvende tallerken,nob,4119
en flåkjeft,nob,659
en fløtepus,nob,330
en forbryterbane,nob,118
en forbuden frukt,nob,362
en forpostfektning,nob,2658
en forsiktig general,nob,1298
en forsmådd elsker,nob,1182
en forståsegpåer,nob,922
en forsøkskanin,nob,1057
en fossil,nob,6082
en fransk visitt,nob,5155
en fransk åpning,nob,289
en frase,nob,24035
en fredsdue,nob,2120
en frekkas,nob,1846
en fremmed fugl,nob,9468
en frille,nob,1984
en friskus,nob,8999
en furie,nob,5978
en fuskelapp,nob,244
en fyllekule,nob,1574
en fyr,nob,153526
en fyrstelig mottagelse,nob,656
en fødselshjelper,nob,2026
en galgenfrist,nob,4021
en galgenfugl,nob,352
en galning,nob,15328
en gammel jomfru,nob,6130
en gammel rev,nob,3610
en gammel sirkushest,nob,1004
en gammel ungkar,nob,4169
en gap,nob,2308
en gategutt,nob,3749
en gatepike,nob,5744
en gave fra himmelen,nob,5955
en gave fra oven,nob,1935
en generaltabbe,nob,2505
en generasjonskløft,nob,1553
en gentlemanns,nob,259
en gjenganger,nob,87205
en gjennomgangsmelodi,nob,3758
en gjerrigknark,nob,3898
en gjøkunge,nob,5718
en glad laks,nob,6230
en glansperiode,nob,3870
en gledelig begivenhet,nob,10570
en gledens dag,nob,39870
en gledesdreper,nob,2062
en gledespike,nob,1217
en gledesspreder,nob,12453
en glorie,nob,24423
en gneldrebikkje,nob,515
en godfjott,nob,888
en gratissjanse,nob,4861
en gravrøst,nob,295
en gressenke,nob,457
en gressenkemann,nob,842
en gris,nob,115637
en grå mus,nob,2857
en gråtass,nob,2129
en grønn lunge,nob,8636
en grønnsak,nob,10808
en grøt,nob,15664
en gudegave,nob,5213
en guds lykke,nob,6585
en gullfugl,nob,2435
en gullgutt,nob,1523
en gulrot,nob,31016
en guttevalp,nob,716
en gåte,nob,151089
en hai,nob,38569
en hakkekylling,nob,600
en halvgud,nob,4485
en ham,nob,34347
en hanekylling,nob,2287
en hannkatt,nob,4698
en hard hals,nob,280
en hard negl,nob,4966
en hardhaus,nob,17366
en hare,nob,60387
en hauk,nob,20545
en he,nob,69972
en hedersgjest,nob,1316
en hedersmann,nob,27352
en heidundrende fest,nob,2961
en heimføding,nob,749
en heisatur,nob,3797
en heksedoktor,nob,2220
en hekseprosess,nob,2554
en heksering,nob,427
en heldig stjerne,nob,2051
en helgenglorie,nob,1184
en hellig allianse,nob,1229
en hellig ku,nob,7707
en helstøpt personlighet,nob,2153
en helt,nob,2095543
en heltedåd,nob,7947
en heltetenor,nob,326
en hengemyr,nob,11516
en herostratisk berømmelse,nob,714
en herrekost,nob,143
en het potet,nob,7401
en hetebølge,nob,8794
en hissigpropp,nob,4612
en hivert,nob,1228
en hjelpende hånd,nob,108841
en hjertesak,nob,33199
en hjerteskjærende gråt,nob,196
en hjerteskjærende scene,nob,290
en hjertevenn,nob,2270
en homerisk latter,nob,560
en horebukk,nob,1557
en hoven mine,nob,650
en hulder,nob,4649
en hund,nob,452782
en husmannsånd,nob,533
en hvit flekk på kartet,nob,1869
en hvit løgn,nob,7022
en hvitvasking,nob,342
en hybelkanin,nob,345
en hyrdetime,nob,327
en håndfull,nob,222850
en håndjager,nob,211
en håndvending,nob,50835
en høneblund,nob,6246
en høvding,nob,30394
en ildprøve,nob,5877
en ildsjel,nob,46649
en indre stemme,nob,10624
en intrigemaker,nob,919
en jentefut,nob,2525
en jette,nob,2083
en jomfru,nob,50831
en jomfrutur,nob,934
en jordmor,nob,22165
en jukselapp,nob,528
en jypling,nob,4057
en kakelinne,nob,136
en kald skulder,nob,23454
en kalddusj,nob,30528
en kameleon,nob,6137
en kamp mot klokka,nob,4786
en kamp mot vindmøller,nob,1852
en kamp på liv og død,nob,37615
en kamp på tørre never,nob,296
en kamphane,nob,1273
en kanalje,nob,859
en kanonade,nob,5734
en kanossagang,nob,1034
en kardinaldyd,nob,307
en kardinalfeil,nob,2024
en karismatiker,nob,361
en karrierejeger,nob,510
en karusell,nob,17695
en kassasuksess,nob,5325
en kasteball,nob,22742
en kilevink,nob,7490
en kinnhest,nob,484
en kjeftesmelle,nob,831
en kjendis,nob,31945
en kjentmann,nob,11968
en kjerringknute,nob,401
en klakør,nob,181
en klapp på skulderen,nob,7163
en klassiker,nob,272822
en klippe,nob,67254
en klippetro,nob,665
en klisjé,nob,22731
en klisterhjerne,nob,568
en klossmajor,nob,2505
en klump,nob,84985
en klyse,nob,2517
en knakende kjekk kar,nob,1134
en knute på tråden,nob,5072
en knøl,nob,1010
en koffertløper,nob,157
en kollbøtte,nob,2927
en koloss,nob,14241
en koloss på leirføtter,nob,1543
en kongstanke,nob,4536
en konkursrytter,nob,281
en kop,nob,52679
en korsvei,nob,17408
en kortslutning,nob,20496
en kraftidiot,nob,305
en kraftkar,nob,14111
en kraftsalve,nob,4858
en krake,nob,1586
en kranglefant,nob,3092
en krig på kniven,nob,649
en krokvei,nob,310
en kronjuvel,nob,576
en kruttønne,nob,7836
en krystallkule,nob,2895
en kubikksjarmør,nob,169
en kunstpause,nob,10829
en kurtisane,nob,1509
en kvakksalver,nob,3481
en kverulant,nob,4735
en kvikkas,nob,596
en kvise på samfunnets rumpe,nob,126
en kylling,nob,29480
en labb,nob,4400
en lakei,nob,7149
en larv,nob,603
en ledestjerne,nob,9184
en lefse,nob,3123
en lekker sak,nob,1240
en lenkegjeng,nob,1303
en lesbe,nob,560
en lesehest,nob,5634
en levemann,nob,2707
en levende fakkel,nob,2427
